Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,510.000000,510.000000,479.000000,480.000000,453.202332,2780700
2016-01-05,480.000000,487.000000,480.000000,480.000000,453.202332,1586100
2016-01-06,484.000000,484.000000,476.000000,479.000000,452.258148,1620500
2016-01-07,479.000000,479.000000,472.000000,475.000000,448.481476,1373800
2016-01-08,475.000000,478.000000,469.000000,476.000000,449.425629,1161200
2016-01-11,474.000000,474.000000,470.000000,470.000000,443.760620,747100
2016-01-12,473.000000,477.000000,464.000000,466.000000,439.983917,1244500
2016-01-13,470.000000,470.000000,462.000000,463.000000,437.151428,977700
2016-01-14,459.000000,496.000000,451.000000,493.000000,465.476532,7435900
2016-01-15,493.000000,510.000000,490.000000,505.000000,476.806610,12354400
2016-01-18,505.000000,515.000000,499.000000,499.000000,471.141602,4292200
2016-01-19,510.000000,510.000000,498.000000,505.000000,476.806610,1069200
2016-01-20,500.000000,510.000000,497.000000,497.000000,469.253235,5004300
2016-01-21,500.000000,505.000000,490.000000,491.000000,463.588226,1974300
2016-01-22,500.000000,505.000000,494.000000,500.000000,472.085754,1439000
2016-01-25,500.000000,515.000000,500.000000,510.000000,481.527466,3722500
2016-01-26,505.000000,510.000000,499.000000,505.000000,476.806610,4078300
2016-01-27,505.000000,520.000000,505.000000,505.000000,476.806610,2519700
2016-01-28,505.000000,530.000000,500.000000,520.000000,490.969177,12194200
2016-01-29,520.000000,535.000000,520.000000,520.000000,490.969177,8389600
2016-02-01,535.000000,535.000000,510.000000,515.000000,486.248322,8444700
2016-02-02,515.000000,530.000000,515.000000,520.000000,490.969177,4350000
2016-02-03,520.000000,540.000000,510.000000,530.000000,500.410919,7009200
2016-02-04,530.000000,550.000000,530.000000,545.000000,514.573486,4189800
2016-02-05,545.000000,555.000000,540.000000,540.000000,509.852600,3745300
2016-02-09,540.000000,555.000000,540.000000,545.000000,514.573486,1876700
2016-02-10,545.000000,555.000000,540.000000,545.000000,514.573486,2125800
2016-02-11,545.000000,570.000000,540.000000,560.000000,528.736023,10118400
2016-02-12,560.000000,560.000000,555.000000,555.000000,524.015198,3163700
2016-02-15,560.000000,580.000000,550.000000,560.000000,528.736023,6075600
2016-02-16,560.000000,580.000000,560.000000,580.000000,547.619446,3788300
2016-02-17,580.000000,585.000000,575.000000,580.000000,547.619446,1464000
2016-02-18,580.000000,595.000000,575.000000,580.000000,547.619446,5029900
2016-02-19,555.000000,590.000000,555.000000,565.000000,533.456909,2975200
2016-02-22,580.000000,580.000000,570.000000,575.000000,542.898621,741600
2016-02-23,585.000000,585.000000,560.000000,560.000000,528.736023,1740900
2016-02-24,560.000000,580.000000,560.000000,570.000000,538.177795,2188500
2016-02-25,575.000000,580.000000,560.000000,565.000000,533.456909,5760600
2016-02-26,585.000000,585.000000,560.000000,575.000000,542.898621,2950300
2016-02-29,575.000000,580.000000,555.000000,570.000000,538.177795,2812900
2016-03-01,560.000000,570.000000,560.000000,560.000000,528.736023,1011700
2016-03-02,570.000000,605.000000,565.000000,590.000000,557.061157,12372500
2016-03-03,600.000000,630.000000,595.000000,600.000000,566.502930,19224900
2016-03-04,615.000000,625.000000,605.000000,610.000000,575.944641,11662000
2016-03-07,620.000000,645.000000,620.000000,635.000000,599.548889,28790800
2016-03-08,645.000000,755.000000,635.000000,725.000000,684.524353,126158800
2016-03-10,720.000000,750.000000,700.000000,700.000000,660.920105,20222300
2016-03-11,700.000000,700.000000,700.000000,700.000000,660.920105,0
2016-03-14,700.000000,700.000000,700.000000,700.000000,660.920105,0
2016-03-15,760.000000,760.000000,730.000000,740.000000,698.686951,10831900
2016-03-16,740.000000,780.000000,730.000000,750.000000,708.128662,18213200
2016-03-17,765.000000,795.000000,760.000000,780.000000,736.453796,18426400
2016-03-18,785.000000,805.000000,765.000000,795.000000,750.616333,39422900
2016-03-21,790.000000,810.000000,785.000000,785.000000,741.174622,15866200
2016-03-22,795.000000,800.000000,765.000000,765.000000,722.291199,10190200
2016-03-23,780.000000,785.000000,765.000000,765.000000,722.291199,4089500
2016-03-24,765.000000,780.000000,745.000000,760.000000,717.570313,7988800
2016-03-28,760.000000,760.000000,720.000000,735.000000,693.966125,7097600
2016-03-29,740.000000,750.000000,730.000000,730.000000,689.245178,3910900
2016-03-30,735.000000,760.000000,730.000000,755.000000,712.849487,11629400
2016-03-31,760.000000,775.000000,740.000000,740.000000,698.686951,5396000
2016-04-01,740.000000,745.000000,730.000000,730.000000,689.245178,1935000
2016-04-04,730.000000,760.000000,730.000000,755.000000,712.849487,6034200
2016-04-05,755.000000,755.000000,735.000000,735.000000,693.966125,3370900
2016-04-06,735.000000,770.000000,735.000000,760.000000,717.570313,8401000
2016-04-07,770.000000,790.000000,755.000000,785.000000,741.174622,31473100
2016-04-08,790.000000,885.000000,780.000000,850.000000,802.545776,72605000
2016-04-11,850.000000,850.000000,850.000000,850.000000,802.545776,0
2016-04-12,865.000000,880.000000,845.000000,845.000000,797.824951,21614400
2016-04-13,845.000000,845.000000,845.000000,845.000000,797.824951,0
2016-04-14,845.000000,845.000000,845.000000,845.000000,797.824951,0
2016-04-15,845.000000,845.000000,845.000000,845.000000,801.707275,0
2016-04-18,845.000000,845.000000,845.000000,845.000000,801.707275,0
2016-04-19,845.000000,845.000000,845.000000,845.000000,801.707275,0
2016-04-20,855.000000,870.000000,835.000000,835.000000,792.219604,10554900
2016-04-21,865.000000,865.000000,840.000000,845.000000,801.707275,14136300
2016-04-22,845.000000,860.000000,840.000000,840.000000,796.963379,13232000
2016-04-25,840.000000,855.000000,830.000000,835.000000,792.219604,7033400
2016-04-26,835.000000,840.000000,805.000000,825.000000,782.731934,6242500
2016-04-27,825.000000,840.000000,815.000000,820.000000,777.988098,6955100
2016-04-28,830.000000,835.000000,800.000000,800.000000,759.012756,14154800
2016-04-29,800.000000,800.000000,775.000000,775.000000,735.293640,12342500
2016-05-02,775.000000,780.000000,730.000000,745.000000,706.830627,10061700
2016-05-03,745.000000,760.000000,725.000000,725.000000,687.855347,10893800
2016-05-04,725.000000,725.000000,695.000000,715.000000,678.367676,11665400
2016-05-09,715.000000,720.000000,685.000000,685.000000,649.904663,8429900
2016-05-10,685.000000,705.000000,670.000000,700.000000,664.136230,9655100
2016-05-11,680.000000,710.000000,680.000000,680.000000,645.160828,4259800
2016-05-12,685.000000,700.000000,675.000000,680.000000,645.160828,4250600
2016-05-13,680.000000,690.000000,660.000000,665.000000,630.929382,8284800
2016-05-16,665.000000,670.000000,640.000000,640.000000,607.210205,7458600
2016-05-17,640.000000,655.000000,620.000000,625.000000,592.978760,12516000
2016-05-18,630.000000,660.000000,625.000000,635.000000,602.466431,14466400
2016-05-19,640.000000,655.000000,640.000000,640.000000,607.210205,6435600
2016-05-20,645.000000,655.000000,635.000000,640.000000,607.210205,5926100
2016-05-23,660.000000,665.000000,640.000000,655.000000,621.441711,8853400
2016-05-24,655.000000,660.000000,620.000000,625.000000,592.978760,10554500
2016-05-25,635.000000,645.000000,630.000000,640.000000,607.210205,9789400
2016-05-26,640.000000,685.000000,640.000000,680.000000,645.160828,24032900
2016-05-27,685.000000,700.000000,675.000000,675.000000,640.417053,13111600
2016-05-30,675.000000,685.000000,665.000000,670.000000,635.673218,7201100
2016-05-31,675.000000,680.000000,655.000000,655.000000,621.441711,7773800
2016-06-01,655.000000,665.000000,630.000000,635.000000,602.466431,13711000
2016-06-02,635.000000,660.000000,635.000000,655.000000,621.441711,9231700
2016-06-03,665.000000,670.000000,650.000000,665.000000,630.929382,8028200
2016-06-06,660.000000,685.000000,660.000000,675.000000,640.417053,9209200
2016-06-07,675.000000,735.000000,675.000000,735.000000,697.343018,44429500
2016-06-08,735.000000,760.000000,705.000000,720.000000,683.111450,38986400
2016-06-09,730.000000,760.000000,720.000000,745.000000,706.830627,27649700
2016-06-10,745.000000,745.000000,725.000000,735.000000,697.343018,14209600
2016-06-13,735.000000,735.000000,705.000000,705.000000,668.880005,10015800
2016-06-14,705.000000,720.000000,690.000000,695.000000,659.392334,10157400
2016-06-15,695.000000,720.000000,690.000000,715.000000,678.367676,8961400
2016-06-16,715.000000,755.000000,700.000000,730.000000,692.599182,40642700
2016-06-17,730.000000,740.000000,715.000000,725.000000,687.855347,14596500
2016-06-20,735.000000,745.000000,725.000000,740.000000,702.086853,12386000
2016-06-21,745.000000,750.000000,720.000000,725.000000,687.855347,12559100
2016-06-22,725.000000,735.000000,715.000000,720.000000,683.111450,8265200
2016-06-23,720.000000,725.000000,710.000000,715.000000,678.367676,5308900
2016-06-24,715.000000,725.000000,680.000000,700.000000,664.136230,18613400
2016-06-27,690.000000,705.000000,690.000000,695.000000,659.392334,5328700
2016-06-28,700.000000,700.000000,675.000000,675.000000,640.417053,8703100
2016-06-29,680.000000,710.000000,675.000000,690.000000,654.648560,8012100
2016-06-30,700.000000,720.000000,695.000000,700.000000,664.136230,12085600
2016-07-01,700.000000,710.000000,690.000000,695.000000,659.392334,4743700
2016-07-11,710.000000,765.000000,705.000000,750.000000,711.574463,47608700
2016-07-12,760.000000,785.000000,750.000000,780.000000,740.037476,38871000
2016-07-13,825.000000,830.000000,785.000000,825.000000,782.731934,57212700
2016-07-14,825.000000,835.000000,800.000000,805.000000,763.756592,16592200
2016-07-15,805.000000,885.000000,805.000000,865.000000,820.682556,52841700
2016-07-18,870.000000,890.000000,860.000000,875.000000,830.170227,25145200
2016-07-19,885.000000,890.000000,850.000000,860.000000,815.938782,15692300
2016-07-20,865.000000,865.000000,845.000000,845.000000,801.707275,6120700
2016-07-21,845.000000,875.000000,840.000000,850.000000,806.451050,9736900
2016-07-22,850.000000,860.000000,830.000000,840.000000,796.963379,13869500
2016-07-25,855.000000,855.000000,820.000000,825.000000,782.731934,7016100
2016-07-26,825.000000,825.000000,810.000000,810.000000,768.500427,4007500
2016-07-27,810.000000,835.000000,810.000000,820.000000,777.988098,9867900
2016-07-28,820.000000,855.000000,820.000000,840.000000,796.963379,20592400
2016-07-29,850.000000,870.000000,835.000000,835.000000,792.219604,19454100
2016-08-01,835.000000,880.000000,835.000000,865.000000,820.682556,23083600
2016-08-02,870.000000,915.000000,865.000000,895.000000,849.145569,80885100
2016-08-03,900.000000,920.000000,880.000000,880.000000,834.914063,23106100
2016-08-04,900.000000,930.000000,885.000000,900.000000,853.889404,47348400
2016-08-05,910.000000,925.000000,900.000000,905.000000,858.633179,27435600
2016-08-08,915.000000,935.000000,890.000000,890.000000,844.401733,23114100
2016-08-09,890.000000,910.000000,890.000000,895.000000,849.145569,21072100
2016-08-10,900.000000,910.000000,890.000000,895.000000,849.145569,12774800
2016-08-11,895.000000,900.000000,865.000000,875.000000,830.170227,20477300
2016-08-12,885.000000,890.000000,850.000000,855.000000,811.194946,13827900
2016-08-15,860.000000,860.000000,795.000000,825.000000,782.731934,26595400
2016-08-16,830.000000,830.000000,815.000000,815.000000,773.244263,7401800
2016-08-18,815.000000,860.000000,815.000000,855.000000,811.194946,16413800
2016-08-19,855.000000,880.000000,850.000000,855.000000,811.194946,20522800
2016-08-22,855.000000,865.000000,840.000000,845.000000,801.707275,6049900
2016-08-23,845.000000,860.000000,835.000000,845.000000,801.707275,9112900
2016-08-24,850.000000,875.000000,840.000000,850.000000,806.451050,15898600
2016-08-25,860.000000,865.000000,835.000000,840.000000,796.963379,9567600
2016-08-26,850.000000,850.000000,825.000000,825.000000,782.731934,6621100
2016-08-29,820.000000,825.000000,800.000000,805.000000,763.756592,10386900
2016-08-30,810.000000,820.000000,775.000000,785.000000,744.781250,11860200
2016-08-31,785.000000,805.000000,785.000000,800.000000,759.012756,9984500
2016-09-01,800.000000,805.000000,775.000000,780.000000,740.037476,6415800
2016-09-02,795.000000,805.000000,780.000000,800.000000,759.012756,5881400
2016-09-05,805.000000,825.000000,805.000000,810.000000,768.500427,11471100
2016-09-06,820.000000,820.000000,800.000000,800.000000,759.012756,11240100
2016-09-07,810.000000,815.000000,800.000000,800.000000,759.012756,8179300
2016-09-08,805.000000,815.000000,795.000000,800.000000,759.012756,7125600
2016-09-09,805.000000,820.000000,795.000000,800.000000,759.012756,11648700
2016-09-13,800.000000,800.000000,750.000000,760.000000,721.062134,10374100
2016-09-14,755.000000,760.000000,720.000000,745.000000,706.830627,7807000
2016-09-15,745.000000,770.000000,740.000000,755.000000,716.318359,56646500
2016-09-16,755.000000,775.000000,735.000000,750.000000,711.574463,9011300
2016-09-19,760.000000,760.000000,745.000000,745.000000,706.830627,3352200
