Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,315.000000,315.000000,296.000000,296.000000,289.228394,96322900
2016-01-05,297.000000,305.000000,297.000000,302.000000,295.091095,40252100
2016-01-06,303.000000,307.000000,298.000000,300.000000,293.136902,79060500
2016-01-07,298.000000,301.000000,294.000000,294.000000,287.274139,60458100
2016-01-08,292.000000,302.000000,292.000000,299.000000,292.159790,43796800
2016-01-11,299.000000,308.000000,296.000000,303.000000,296.068237,105459000
2016-01-12,305.000000,306.000000,300.000000,302.000000,295.091095,78989700
2016-01-13,307.000000,307.000000,301.000000,301.000000,294.114014,31152000
2016-01-14,297.000000,328.000000,294.000000,310.000000,302.908112,477566600
2016-01-15,313.000000,322.000000,312.000000,315.000000,307.793732,162684600
2016-01-18,310.000000,320.000000,310.000000,314.000000,306.816589,56490100
2016-01-19,315.000000,319.000000,313.000000,314.000000,306.816589,62437900
2016-01-20,313.000000,315.000000,304.000000,304.000000,297.045380,83417500
2016-01-21,305.000000,313.000000,301.000000,304.000000,297.045380,62812300
2016-01-22,306.000000,311.000000,304.000000,308.000000,300.953857,46735900
2016-01-25,310.000000,315.000000,308.000000,311.000000,303.885254,64086200
2016-01-26,311.000000,320.000000,309.000000,314.000000,306.816589,140885900
2016-01-27,318.000000,331.000000,318.000000,325.000000,317.564972,327942900
2016-01-28,325.000000,332.000000,322.000000,323.000000,315.610718,155592100
2016-01-29,325.000000,335.000000,324.000000,329.000000,321.473450,210456000
2016-02-01,334.000000,335.000000,328.000000,332.000000,324.404785,104508600
2016-02-02,333.000000,344.000000,331.000000,338.000000,330.267578,168409500
2016-02-03,336.000000,345.000000,334.000000,342.000000,334.176056,125354100
2016-02-04,345.000000,352.000000,345.000000,349.000000,341.015930,132358600
2016-02-05,352.000000,357.000000,340.000000,342.000000,334.176056,173114900
2016-02-09,343.000000,350.000000,341.000000,344.000000,336.130310,76303600
2016-02-10,345.000000,347.000000,335.000000,344.000000,336.130310,88723300
2016-02-11,346.000000,353.000000,345.000000,353.000000,344.924377,192928300
2016-02-12,355.000000,360.000000,351.000000,352.000000,343.947266,87018600
2016-02-15,355.000000,362.000000,353.000000,362.000000,353.718506,133681100
2016-02-16,365.000000,367.000000,359.000000,363.000000,354.695648,90149700
2016-02-17,366.000000,366.000000,361.000000,363.000000,354.695648,46310200
2016-02-18,365.000000,372.000000,362.000000,366.000000,357.627014,120929200
2016-02-19,369.000000,373.000000,357.000000,369.000000,360.558380,209251000
2016-02-22,371.000000,372.000000,367.000000,369.000000,360.558380,42120400
2016-02-23,371.000000,372.000000,358.000000,360.000000,351.764252,75692200
2016-02-24,360.000000,369.000000,356.000000,365.000000,356.649872,86521500
2016-02-25,368.000000,373.000000,365.000000,372.000000,363.489746,141657000
2016-02-26,374.000000,375.000000,367.000000,369.000000,360.558380,68140700
2016-02-29,370.000000,371.000000,364.000000,364.000000,355.672729,39757400
2016-03-01,366.000000,369.000000,363.000000,365.000000,356.649872,34092000
2016-03-02,365.000000,383.000000,360.000000,381.000000,372.283844,269451600
2016-03-03,382.000000,392.000000,376.000000,387.000000,378.146576,201450900
2016-03-04,389.000000,406.000000,389.000000,403.000000,393.780518,240070400
2016-03-07,406.000000,422.000000,406.000000,422.000000,412.345886,262811800
2016-03-08,424.000000,433.000000,422.000000,424.000000,414.300110,213480900
2016-03-10,425.000000,428.000000,417.000000,424.000000,414.300110,105128700
2016-03-11,424.000000,424.000000,424.000000,424.000000,414.300110,0
2016-03-14,424.000000,424.000000,424.000000,424.000000,414.300110,0
2016-03-15,459.000000,460.000000,448.000000,453.000000,442.636688,105398200
2016-03-16,453.000000,467.000000,450.000000,459.000000,448.499420,128412100
2016-03-17,464.000000,466.000000,459.000000,461.000000,450.453674,87605400
2016-03-18,465.000000,480.000000,463.000000,474.000000,463.156281,218746000
2016-03-21,474.000000,481.000000,470.000000,470.000000,459.247803,142980500
2016-03-22,471.000000,476.000000,470.000000,471.000000,460.224884,54751400
2016-03-23,471.000000,474.000000,465.000000,468.000000,457.293549,41565800
2016-03-24,465.000000,471.000000,458.000000,458.000000,447.522339,103271100
2016-03-28,458.000000,462.000000,441.000000,459.000000,448.499420,131272400
2016-03-29,460.000000,468.000000,456.000000,456.000000,445.568054,80692300
2016-03-30,459.000000,466.000000,458.000000,465.000000,454.362152,74741300
2016-03-31,465.000000,470.000000,463.000000,464.000000,453.385071,55089500
2016-04-01,463.000000,464.000000,458.000000,461.000000,450.453674,95510800
2016-04-04,466.000000,505.000000,463.000000,500.000000,488.561462,323920800
2016-04-05,500.000000,510.000000,499.000000,500.000000,488.561462,127634300
2016-04-06,505.000000,525.000000,505.000000,520.000000,508.103943,102176800
2016-04-07,525.000000,625.000000,525.000000,625.000000,610.701904,474393800
2016-04-08,625.000000,710.000000,615.000000,645.000000,630.244324,638944600
2016-04-11,645.000000,645.000000,645.000000,645.000000,630.244324,0
2016-04-12,670.000000,695.000000,665.000000,670.000000,654.672363,143049200
2016-04-13,670.000000,670.000000,670.000000,670.000000,654.672363,0
2016-04-14,670.000000,670.000000,670.000000,670.000000,654.672363,0
2016-04-15,670.000000,670.000000,670.000000,670.000000,654.672363,0
2016-04-18,670.000000,670.000000,670.000000,670.000000,654.672363,0
2016-04-19,670.000000,670.000000,670.000000,670.000000,654.672363,0
2016-04-20,725.000000,740.000000,710.000000,720.000000,703.528503,115000000
2016-04-21,720.000000,735.000000,715.000000,720.000000,703.528503,92965600
2016-04-22,720.000000,725.000000,710.000000,715.000000,698.642883,51002700
2016-04-25,720.000000,725.000000,710.000000,715.000000,698.642883,54684400
2016-04-26,715.000000,720.000000,690.000000,705.000000,688.871643,93651300
2016-04-27,705.000000,720.000000,700.000000,700.000000,683.986084,46142800
2016-04-28,710.000000,745.000000,700.000000,740.000000,723.070984,242736600
2016-04-29,750.000000,775.000000,735.000000,760.000000,742.613403,206397900
2016-05-02,770.000000,780.000000,740.000000,755.000000,737.727844,115450800
2016-05-03,765.000000,765.000000,740.000000,745.000000,727.956604,46002800
2016-05-04,740.000000,780.000000,730.000000,770.000000,752.384644,137767700
2016-05-09,775.000000,780.000000,730.000000,740.000000,723.070984,182614100
2016-05-10,735.000000,750.000000,700.000000,710.000000,693.757263,266911700
2016-05-11,710.000000,730.000000,710.000000,710.000000,693.757263,75196900
2016-05-12,715.000000,730.000000,705.000000,715.000000,698.642883,45063400
2016-05-13,715.000000,720.000000,705.000000,705.000000,688.871643,37171900
2016-05-16,705.000000,710.000000,675.000000,680.000000,664.443604,105406500
2016-05-17,690.000000,700.000000,685.000000,695.000000,679.100464,59276500
2016-05-18,700.000000,710.000000,690.000000,695.000000,679.100464,26878200
2016-05-19,700.000000,700.000000,665.000000,665.000000,649.786743,68592400
2016-05-20,660.000000,680.000000,650.000000,660.000000,644.901123,56372700
2016-05-23,660.000000,675.000000,650.000000,650.000000,635.129944,30408600
2016-05-24,650.000000,655.000000,625.000000,645.000000,630.244324,80636700
2016-05-25,655.000000,665.000000,650.000000,655.000000,640.015503,43434800
2016-05-26,660.000000,700.000000,650.000000,680.000000,664.443604,137663900
2016-05-27,685.000000,690.000000,665.000000,670.000000,654.672363,41435200
2016-05-30,670.000000,685.000000,660.000000,670.000000,654.672363,64263000
2016-05-31,670.000000,675.000000,650.000000,650.000000,635.129944,81217000
2016-06-01,650.000000,670.000000,640.000000,645.000000,630.244324,49958500
2016-06-02,640.000000,665.000000,640.000000,650.000000,635.129944,96986700
2016-06-03,650.000000,660.000000,650.000000,650.000000,635.129944,19928400
2016-06-06,660.000000,685.000000,660.000000,675.000000,659.558044,124156100
2016-06-07,685.000000,695.000000,665.000000,675.000000,659.558044,108677500
2016-06-08,680.000000,685.000000,665.000000,670.000000,654.672363,75294200
2016-06-09,680.000000,730.000000,670.000000,730.000000,713.299744,325910000
2016-06-10,730.000000,740.000000,715.000000,720.000000,703.528503,145568300
2016-06-13,705.000000,725.000000,705.000000,705.000000,688.871643,47598400
2016-06-14,700.000000,720.000000,685.000000,685.000000,669.329224,63735900
2016-06-15,680.000000,705.000000,680.000000,695.000000,679.100464,68210800
2016-06-16,695.000000,780.000000,695.000000,755.000000,737.727844,372193000
2016-06-17,755.000000,765.000000,725.000000,735.000000,718.185364,213331800
2016-06-20,740.000000,760.000000,735.000000,750.000000,732.842224,96659700
2016-06-21,750.000000,760.000000,735.000000,735.000000,718.185364,62111200
2016-06-22,730.000000,755.000000,730.000000,740.000000,723.070984,108101800
2016-06-23,730.000000,745.000000,730.000000,730.000000,713.299744,39292500
2016-06-24,730.000000,750.000000,705.000000,730.000000,713.299744,190710000
2016-06-27,730.000000,745.000000,730.000000,735.000000,718.185364,70339400
2016-06-28,740.000000,745.000000,720.000000,720.000000,703.528503,58690300
2016-06-29,720.000000,740.000000,720.000000,720.000000,703.528503,105793700
2016-06-30,725.000000,735.000000,720.000000,725.000000,708.414124,77622700
2016-07-01,725.000000,730.000000,710.000000,715.000000,698.642883,52925500
2016-07-11,730.000000,750.000000,725.000000,740.000000,723.070984,97283800
2016-07-12,740.000000,770.000000,740.000000,760.000000,742.613403,167191500
